nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1409 (0.1423) xyz.shape=torch.Size([402432, 3]): :  29% 1370/4800 [04:52<10:26,  5.48it/s]
loss=0.1349 (0.1422) xyz.shape=torch.Size([397568, 3]): :  29% 1370/4800 [04:52<10:26,  5.48it/s]
loss=0.1349 (0.1422) xyz.shape=torch.Size([397568, 3]): :  29% 1371/4800 [04:52<15:20,  3.72it/s]
loss=0.1405 (0.1422) xyz.shape=torch.Size([393472, 3]): :  29% 1371/4800 [04:53<15:20,  3.72it/s]
loss=0.1405 (0.1422) xyz.shape=torch.Size([393472, 3]): :  29% 1372/4800 [04:53<13:31,  4.22it/s]
loss=0.1417 (0.1422) xyz.shape=torch.Size([392320, 3]): :  29% 1372/4800 [04:53<13:31,  4.22it/s]
loss=0.1417 (0.1422) xyz.shape=torch.Size([392320, 3]): :  29% 1373/4800 [04:53<12:14,  4.67it/s]
loss=0.1441 (0.1422) xyz.shape=torch.Size([399104, 3]): :  29% 1373/4800 [04:53<12:14,  4.67it/s]
loss=0.1441 (0.1422) xyz.shape=torch.Size([399104, 3]): :  29% 1374/4800 [04:53<11:21,  5.03it/s]
loss=0.1405 (0.1422) xyz.shape=torch.Size([400384, 3]): :  29% 1374/4800 [04:53<11:21,  5.03it/s]
loss=0.1405 (0.1422) xyz.shape=torch.Size([400384, 3]): :  29% 1375/4800 [04:53<10:43,  5.32it/s]
loss=0.1413 (0.1422) xyz.shape=torch.Size([396544, 3]): :  29% 1375/4800 [04:53<10:43,  5.32it/s]
loss=0.1413 (0.1422) xyz.shape=torch.Size([396544, 3]): :  29% 1376/4800 [04:53<14:22,  3.97it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([400256, 3]): :  29% 1376/4800 [04:54<14:22,  3.97it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([400256, 3]): :  29% 1377/4800 [04:54<12:50,  4.44it/s]
loss=0.1387 (0.1422) xyz.shape=torch.Size([398208, 3]): :  29% 1377/4800 [04:54<12:50,  4.44it/s]
loss=0.1387 (0.1422) xyz.shape=torch.Size([398208, 3]): :  29% 1378/4800 [04:54<11:47,  4.83it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([394496, 3]): :  29% 1378/4800 [04:54<11:47,  4.83it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([394496, 3]): :  29% 1379/4800 [04:54<11:02,  5.16it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([397440, 3]): :  29% 1379/4800 [04:54<11:02,  5.16it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([397440, 3]): :  29% 1380/4800 [04:54<10:33,  5.39it/s]
loss=0.1441 (0.1422) xyz.shape=torch.Size([400512, 3]): :  29% 1380/4800 [04:55<10:33,  5.39it/s]
loss=0.1441 (0.1422) xyz.shape=torch.Size([400512, 3]): :  29% 1381/4800 [04:55<14:12,  4.01it/s]
loss=0.1465 (0.1423) xyz.shape=torch.Size([399360, 3]): :  29% 1381/4800 [04:55<14:12,  4.01it/s]
loss=0.1465 (0.1423) xyz.shape=torch.Size([399360, 3]): :  29% 1382/4800 [04:55<12:44,  4.47it/s]
loss=0.1411 (0.1423) xyz.shape=torch.Size([406016, 3]): :  29% 1382/4800 [04:55<12:44,  4.47it/s]
loss=0.1411 (0.1423) xyz.shape=torch.Size([406016, 3]): :  29% 1383/4800 [04:55<11:41,  4.87it/s]
loss=0.1400 (0.1422) xyz.shape=torch.Size([397824, 3]): :  29% 1383/4800 [04:55<11:41,  4.87it/s]
loss=0.1400 (0.1422) xyz.shape=torch.Size([397824, 3]): :  29% 1384/4800 [04:55<10:57,  5.20it/s]
loss=0.1478 (0.1423) xyz.shape=torch.Size([397952, 3]): :  29% 1384/4800 [04:55<10:57,  5.20it/s]
loss=0.1478 (0.1423) xyz.shape=torch.Size([397952, 3]): :  29% 1385/4800 [04:55<10:26,  5.45it/s]
loss=0.1462 (0.1423) xyz.shape=torch.Size([402304, 3]): :  29% 1385/4800 [04:56<10:26,  5.45it/s]
loss=0.1462 (0.1423) xyz.shape=torch.Size([402304, 3]): :  29% 1386/4800 [04:56<15:30,  3.67it/s]
loss=0.1385 (0.1423) xyz.shape=torch.Size([398976, 3]): :  29% 1386/4800 [04:56<15:30,  3.67it/s]
loss=0.1385 (0.1423) xyz.shape=torch.Size([398976, 3]): :  29% 1387/4800 [04:56<13:37,  4.17it/s]
loss=0.1384 (0.1422) xyz.shape=torch.Size([397824, 3]): :  29% 1387/4800 [04:56<13:37,  4.17it/s]
loss=0.1384 (0.1422) xyz.shape=torch.Size([397824, 3]): :  29% 1388/4800 [04:56<12:18,  4.62it/s]
loss=0.1479 (0.1423) xyz.shape=torch.Size([397184, 3]): :  29% 1388/4800 [04:56<12:18,  4.62it/s]
loss=0.1479 (0.1423) xyz.shape=torch.Size([397184, 3]): :  29% 1389/4800 [04:56<11:22,  5.00it/s]
loss=0.1425 (0.1423) xyz.shape=torch.Size([400256, 3]): :  29% 1389/4800 [04:56<11:22,  5.00it/s]
loss=0.1425 (0.1423) xyz.shape=torch.Size([400256, 3]): :  29% 1390/4800 [04:56<10:43,  5.30it/s]
loss=0.1463 (0.1423) xyz.shape=torch.Size([400768, 3]): :  29% 1390/4800 [04:57<10:43,  5.30it/s]
loss=0.1463 (0.1423) xyz.shape=torch.Size([400768, 3]): :  29% 1391/4800 [04:57<14:25,  3.94it/s]
loss=0.1383 (0.1423) xyz.shape=torch.Size([401536, 3]): :  29% 1391/4800 [04:57<14:25,  3.94it/s]
loss=0.1383 (0.1423) xyz.shape=torch.Size([401536, 3]): :  29% 1392/4800 [04:57<12:51,  4.42it/s]
loss=0.1461 (0.1423) xyz.shape=torch.Size([406144, 3]): :  29% 1392/4800 [04:57<12:51,  4.42it/s]
loss=0.1461 (0.1423) xyz.shape=torch.Size([406144, 3]): :  29% 1393/4800 [04:57<11:45,  4.83it/s]
loss=0.1421 (0.1423) xyz.shape=torch.Size([406912, 3]): :  29% 1393/4800 [04:57<11:45,  4.83it/s]
loss=0.1421 (0.1423) xyz.shape=torch.Size([406912, 3]): :  29% 1394/4800 [04:57<10:59,  5.16it/s]
loss=0.1494 (0.1423) xyz.shape=torch.Size([402560, 3]): :  29% 1394/4800 [04:57<10:59,  5.16it/s]
loss=0.1494 (0.1423) xyz.shape=torch.Size([402560, 3]): :  29% 1395/4800 [04:57<10:28,  5.42it/s]
loss=0.1392 (0.1423) xyz.shape=torch.Size([405632, 3]): :  29% 1395/4800 [04:58<10:28,  5.42it/s]
loss=0.1392 (0.1423) xyz.shape=torch.Size([405632, 3]): :  29% 1396/4800 [04:58<14:09,  4.01it/s]
loss=0.1423 (0.1423) xyz.shape=torch.Size([410368, 3]): :  29% 1396/4800 [04:58<14:09,  4.01it/s]
loss=0.1423 (0.1423) xyz.shape=torch.Size([410368, 3]): :  29% 1397/4800 [04:58<12:40,  4.48it/s]
loss=0.1434 (0.1423) xyz.shape=torch.Size([403328, 3]): :  29% 1397/4800 [04:58<12:40,  4.48it/s]
loss=0.1434 (0.1423) xyz.shape=torch.Size([403328, 3]): :  29% 1398/4800 [04:58<11:38,  4.87it/s]
loss=0.1459 (0.1423) xyz.shape=torch.Size([402688, 3]): :  29% 1398/4800 [04:58<11:38,  4.87it/s]
loss=0.1459 (0.1423) xyz.shape=torch.Size([402688, 3]): :  29% 1399/4800 [04:58<10:53,  5.20it/s]
loss=0.1367 (0.1423) xyz.shape=torch.Size([406528, 3]): :  29% 1399/4800 [04:58<10:53,  5.20it/s]
loss=0.1367 (0.1423) xyz.shape=torch.Size([406528, 3]): :  29% 1400/4800 [04:58<10:23,  5.45it/s]
loss=0.1423 (0.1423) xyz.shape=torch.Size([405504, 3]): :  29% 1400/4800 [04:59<10:23,  5.45it/s]
loss=0.1423 (0.1423) xyz.shape=torch.Size([405504, 3]): :  29% 1401/4800 [04:59<14:46,  3.83it/s]
loss=0.1445 (0.1423) xyz.shape=torch.Size([403712, 3]): :  29% 1401/4800 [04:59<14:46,  3.83it/s]
loss=0.1445 (0.1423) xyz.shape=torch.Size([403712, 3]): :  29% 1402/4800 [04:59<13:05,  4.33it/s]
loss=0.1412 (0.1423) xyz.shape=torch.Size([411392, 3]): :  29% 1402/4800 [04:59<13:05,  4.33it/s]
loss=0.1412 (0.1423) xyz.shape=torch.Size([411392, 3]): :  29% 1403/4800 [04:59<11:56,  4.74it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([411776, 3]): :  29% 1403/4800 [04:59<11:56,  4.74it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([411776, 3]): :  29% 1404/4800 [04:59<11:07,  5.09it/s]
loss=0.1395 (0.1423) xyz.shape=torch.Size([407808, 3]): :  29% 1404/4800 [05:00<11:07,  5.09it/s]
loss=0.1395 (0.1423) xyz.shape=torch.Size([407808, 3]): :  29% 1405/4800 [05:00<10:32,  5.37it/s]
loss=0.1530 (0.1423) xyz.shape=torch.Size([407808, 3]): :  29% 1405/4800 [05:00<10:32,  5.37it/s]
loss=0.1530 (0.1423) xyz.shape=torch.Size([407808, 3]): :  29% 1406/4800 [05:00<10:08,  5.57it/s]
loss=0.1397 (0.1423) xyz.shape=torch.Size([415616, 3]): :  29% 1406/4800 [05:00<10:08,  5.57it/s]
loss=0.1397 (0.1423) xyz.shape=torch.Size([415616, 3]): :  29% 1407/4800 [05:00<13:51,  4.08it/s]
loss=0.1389 (0.1423) xyz.shape=torch.Size([414720, 3]): :  29% 1407/4800 [05:00<13:51,  4.08it/s]
loss=0.1389 (0.1423) xyz.shape=torch.Size([414720, 3]): :  29% 1408/4800 [05:00<12:28,  4.53it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([409216, 3]): :  29% 1408/4800 [05:00<12:28,  4.53it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([409216, 3]): :  29% 1409/4800 [05:00<11:30,  4.91it/s]
loss=0.1409 (0.1423) xyz.shape=torch.Size([411904, 3]): :  29% 1409/4800 [05:01<11:30,  4.91it/s]
loss=0.1409 (0.1423) xyz.shape=torch.Size([411904, 3]): :  29% 1410/4800 [05:01<10:48,  5.23it/s]
loss=0.1428 (0.1423) xyz.shape=torch.Size([417664, 3]): :  29% 1410/4800 [05:01<10:48,  5.23it/s]
loss=0.1428 (0.1423) xyz.shape=torch.Size([417664, 3]): :  29% 1411/4800 [05:01<10:19,  5.47it/s]
loss=0.1429 (0.1423) xyz.shape=torch.Size([416768, 3]): :  29% 1411/4800 [05:01<10:19,  5.47it/s]
loss=0.1429 (0.1423) xyz.shape=torch.Size([416768, 3]): :  29% 1412/4800 [05:01<14:00,  4.03it/s]
loss=0.1363 (0.1423) xyz.shape=torch.Size([416512, 3]): :  29% 1412/4800 [05:01<14:00,  4.03it/s]
loss=0.1363 (0.1423) xyz.shape=torch.Size([416512, 3]): :  29% 1413/4800 [05:01<12:33,  4.50it/s]
loss=0.1487 (0.1423) xyz.shape=torch.Size([412800, 3]): :  29% 1413/4800 [05:01<12:33,  4.50it/s]
loss=0.1487 (0.1423) xyz.shape=torch.Size([412800, 3]): :  29% 1414/4800 [05:01<11:32,  4.89it/s]
loss=0.1426 (0.1423) xyz.shape=torch.Size([416512, 3]): :  29% 1414/4800 [05:02<11:32,  4.89it/s]
loss=0.1426 (0.1423) xyz.shape=torch.Size([416512, 3]): :  29% 1415/4800 [05:02<10:50,  5.21it/s]
loss=0.1412 (0.1423) xyz.shape=torch.Size([414720, 3]): :  29% 1415/4800 [05:02<10:50,  5.21it/s]
loss=0.1412 (0.1423) xyz.shape=torch.Size([414720, 3]): :  30% 1416/4800 [05:02<10:20,  5.45it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([414336, 3]): :  30% 1416/4800 [05:02<10:20,  5.45it/s]
loss=0.1404 (0.1423) xyz.shape=torch.Size([414336, 3]): :  30% 1417/4800 [05:02<14:41,  3.84it/s]
loss=0.1411 (0.1423) xyz.shape=torch.Size([420224, 3]): :  30% 1417/4800 [05:02<14:41,  3.84it/s]
loss=0.1411 (0.1423) xyz.shape=torch.Size([420224, 3]): :  30% 1418/4800 [05:02<13:00,  4.33it/s]
loss=0.1313 (0.1422) xyz.shape=torch.Size([412544, 3]): :  30% 1418/4800 [05:03<13:00,  4.33it/s]
loss=0.1313 (0.1422) xyz.shape=torch.Size([412544, 3]): :  30% 1419/4800 [05:03<11:51,  4.75it/s]
loss=0.1393 (0.1422) xyz.shape=torch.Size([416768, 3]): :  30% 1419/4800 [05:03<11:51,  4.75it/s]
loss=0.1393 (0.1422) xyz.shape=torch.Size([416768, 3]): :  30% 1420/4800 [05:03<11:03,  5.10it/s]
loss=0.1375 (0.1422) xyz.shape=torch.Size([408448, 3]): :  30% 1420/4800 [05:03<11:03,  5.10it/s]
loss=0.1375 (0.1422) xyz.shape=torch.Size([408448, 3]): :  30% 1421/4800 [05:03<10:29,  5.37it/s]
loss=0.1389 (0.1422) xyz.shape=torch.Size([410752, 3]): :  30% 1421/4800 [05:03<10:29,  5.37it/s]
loss=0.1389 (0.1422) xyz.shape=torch.Size([410752, 3]): :  30% 1422/4800 [05:03<14:03,  4.00it/s]
loss=0.1385 (0.1422) xyz.shape=torch.Size([414208, 3]): :  30% 1422/4800 [05:03<14:03,  4.00it/s]
loss=0.1385 (0.1422) xyz.shape=torch.Size([414208, 3]): :  30% 1423/4800 [05:03<12:35,  4.47it/s]
loss=0.1398 (0.1422) xyz.shape=torch.Size([413056, 3]): :  30% 1423/4800 [05:04<12:35,  4.47it/s]
loss=0.1398 (0.1422) xyz.shape=torch.Size([413056, 3]): :  30% 1424/4800 [05:04<11:33,  4.87it/s]
loss=0.1377 (0.1422) xyz.shape=torch.Size([413568, 3]): :  30% 1424/4800 [05:04<11:33,  4.87it/s]
loss=0.1377 (0.1422) xyz.shape=torch.Size([413568, 3]): :  30% 1425/4800 [05:04<10:49,  5.20it/s]
loss=0.1496 (0.1422) xyz.shape=torch.Size([409088, 3]): :  30% 1425/4800 [05:04<10:49,  5.20it/s]
loss=0.1496 (0.1422) xyz.shape=torch.Size([409088, 3]): :  30% 1426/4800 [05:04<10:19,  5.45it/s]
loss=0.1327 (0.1422) xyz.shape=torch.Size([417536, 3]): :  30% 1426/4800 [05:04<10:19,  5.45it/s]
loss=0.1327 (0.1422) xyz.shape=torch.Size([417536, 3]): :  30% 1427/4800 [05:04<14:00,  4.01it/s]
loss=0.1345 (0.1422) xyz.shape=torch.Size([415616, 3]): :  30% 1427/4800 [05:04<14:00,  4.01it/s]
loss=0.1345 (0.1422) xyz.shape=torch.Size([415616, 3]): :  30% 1428/4800 [05:04<12:32,  4.48it/s]
loss=0.1348 (0.1422) xyz.shape=torch.Size([415616, 3]): :  30% 1428/4800 [05:05<12:32,  4.48it/s]
loss=0.1348 (0.1422) xyz.shape=torch.Size([415616, 3]): :  30% 1429/4800 [05:05<11:31,  4.87it/s]
loss=0.1424 (0.1422) xyz.shape=torch.Size([417792, 3]): :  30% 1429/4800 [05:05<11:31,  4.87it/s]
loss=0.1424 (0.1422) xyz.shape=torch.Size([417792, 3]): :  30% 1430/4800 [05:05<10:48,  5.19it/s]
loss=0.1416 (0.1422) xyz.shape=torch.Size([418688, 3]): :  30% 1430/4800 [05:05<10:48,  5.19it/s]
loss=0.1416 (0.1422) xyz.shape=torch.Size([418688, 3]): :  30% 1431/4800 [05:05<10:18,  5.44it/s]
loss=0.1424 (0.1422) xyz.shape=torch.Size([420736, 3]): :  30% 1431/4800 [05:05<10:18,  5.44it/s]
loss=0.1424 (0.1422) xyz.shape=torch.Size([420736, 3]): :  30% 1432/4800 [05:05<14:00,  4.01it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([421376, 3]): :  30% 1432/4800 [05:06<14:00,  4.01it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([421376, 3]): :  30% 1433/4800 [05:06<12:33,  4.47it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([420992, 3]): :  30% 1433/4800 [05:06<12:33,  4.47it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([420992, 3]): :  30% 1434/4800 [05:06<11:32,  4.86it/s]
loss=0.1422 (0.1422) xyz.shape=torch.Size([421760, 3]): :  30% 1434/4800 [05:06<11:32,  4.86it/s]
loss=0.1422 (0.1422) xyz.shape=torch.Size([421760, 3]): :  30% 1435/4800 [05:06<10:50,  5.18it/s]
loss=0.1415 (0.1422) xyz.shape=torch.Size([418816, 3]): :  30% 1435/4800 [05:06<10:50,  5.18it/s]
loss=0.1415 (0.1422) xyz.shape=torch.Size([418816, 3]): :  30% 1436/4800 [05:06<10:19,  5.43it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([418176, 3]): :  30% 1436/4800 [05:06<10:19,  5.43it/s]
loss=0.1435 (0.1422) xyz.shape=torch.Size([418176, 3]): :  30% 1437/4800 [05:06<13:58,  4.01it/s]
loss=0.1418 (0.1422) xyz.shape=torch.Size([418688, 3]): :  30% 1437/4800 [05:07<13:58,  4.01it/s]
loss=0.1418 (0.1422) xyz.shape=torch.Size([418688, 3]): :  30% 1438/4800 [05:07<12:30,  4.48it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([424448, 3]): :  30% 1438/4800 [05:07<12:30,  4.48it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([424448, 3]): :  30% 1439/4800 [05:07<11:30,  4.87it/s]
loss=0.1397 (0.1422) xyz.shape=torch.Size([420096, 3]): :  30% 1439/4800 [05:07<11:30,  4.87it/s]
loss=0.1397 (0.1422) xyz.shape=torch.Size([420096, 3]): :  30% 1440/4800 [05:07<10:49,  5.18it/s]
loss=0.1420 (0.1422) xyz.shape=torch.Size([418048, 3]): :  30% 1440/4800 [05:07<10:49,  5.18it/s]
loss=0.1420 (0.1422) xyz.shape=torch.Size([418048, 3]): :  30% 1441/4800 [05:07<10:18,  5.43it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([419968, 3]): :  30% 1441/4800 [05:07<10:18,  5.43it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([419968, 3]): :  30% 1442/4800 [05:07<13:55,  4.02it/s]
loss=0.1420 (0.1422) xyz.shape=torch.Size([416640, 3]): :  30% 1442/4800 [05:08<13:55,  4.02it/s]
loss=0.1420 (0.1422) xyz.shape=torch.Size([416640, 3]): :  30% 1443/4800 [05:08<12:28,  4.48it/s]
loss=0.1395 (0.1422) xyz.shape=torch.Size([421504, 3]): :  30% 1443/4800 [05:08<12:28,  4.48it/s]
loss=0.1395 (0.1422) xyz.shape=torch.Size([421504, 3]): :  30% 1444/4800 [05:08<11:28,  4.88it/s]
loss=0.1443 (0.1422) xyz.shape=torch.Size([413056, 3]): :  30% 1444/4800 [05:08<11:28,  4.88it/s]
loss=0.1443 (0.1422) xyz.shape=torch.Size([413056, 3]): :  30% 1445/4800 [05:08<10:44,  5.20it/s]
loss=0.1355 (0.1422) xyz.shape=torch.Size([416256, 3]): :  30% 1445/4800 [05:08<10:44,  5.20it/s]
loss=0.1355 (0.1422) xyz.shape=torch.Size([416256, 3]): :  30% 1446/4800 [05:08<10:15,  5.45it/s]
loss=0.1440 (0.1422) xyz.shape=torch.Size([414720, 3]): :  30% 1446/4800 [05:09<10:15,  5.45it/s]
loss=0.1440 (0.1422) xyz.shape=torch.Size([414720, 3]): :  30% 1447/4800 [05:09<13:53,  4.02it/s]
loss=0.1401 (0.1422) xyz.shape=torch.Size([416128, 3]): :  30% 1447/4800 [05:09<13:53,  4.02it/s]
loss=0.1401 (0.1422) xyz.shape=torch.Size([416128, 3]): :  30% 1448/4800 [05:09<12:27,  4.48it/s]
loss=0.1428 (0.1422) xyz.shape=torch.Size([419968, 3]): :  30% 1448/4800 [05:09<12:27,  4.48it/s]
loss=0.1428 (0.1422) xyz.shape=torch.Size([419968, 3]): :  30% 1449/4800 [05:09<11:27,  4.87it/s]
loss=0.1382 (0.1422) xyz.shape=torch.Size([417408, 3]): :  30% 1449/4800 [05:09<11:27,  4.87it/s]
loss=0.1382 (0.1422) xyz.shape=torch.Size([417408, 3]): :  30% 1450/4800 [05:09<10:45,  5.19it/s]
loss=0.1409 (0.1422) xyz.shape=torch.Size([422016, 3]): :  30% 1450/4800 [05:09<10:45,  5.19it/s]
loss=0.1409 (0.1422) xyz.shape=torch.Size([422016, 3]): :  30% 1451/4800 [05:09<10:14,  5.45it/s]
loss=0.1453 (0.1422) xyz.shape=torch.Size([419456, 3]): :  30% 1451/4800 [05:10<10:14,  5.45it/s]
loss=0.1453 (0.1422) xyz.shape=torch.Size([419456, 3]): :  30% 1452/4800 [05:10<14:27,  3.86it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([422912, 3]): :  30% 1452/4800 [05:10<14:27,  3.86it/s]
loss=0.1411 (0.1422) xyz.shape=torch.Size([422912, 3]): :  30% 1453/4800 [05:10<13:01,  4.28it/s]
loss=0.1451 (0.1422) xyz.shape=torch.Size([414592, 3]): :  30% 1453/4800 [05:10<13:01,  4.28it/s]
loss=0.1451 (0.1422) xyz.shape=torch.Size([414592, 3]): :  30% 1454/4800 [05:10<12:03,  4.62it/s]
loss=0.1345 (0.1422) xyz.shape=torch.Size([424320, 3]): :  30% 1454/4800 [05:10<12:03,  4.62it/s]
loss=0.1345 (0.1422) xyz.shape=torch.Size([424320, 3]): :  30% 1455/4800 [05:10<11:17,  4.94it/s]
loss=0.1485 (0.1422) xyz.shape=torch.Size([418176, 3]): :  30% 1455/4800 [05:10<11:17,  4.94it/s]
loss=0.1485 (0.1422) xyz.shape=torch.Size([418176, 3]): :  30% 1456/4800 [05:10<10:37,  5.25it/s]
loss=0.1440 (0.1422) xyz.shape=torch.Size([423168, 3]): :  30% 1456/4800 [05:10<10:37,  5.25it/s]
loss=0.1440 (0.1422) xyz.shape=torch.Size([423168, 3]): :  30% 1457/4800 [05:10<10:09,  5.48it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([421760, 3]): :  30% 1457/4800 [05:11<10:09,  5.48it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([421760, 3]): :  30% 1458/4800 [05:11<13:51,  4.02it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([421888, 3]): :  30% 1458/4800 [05:11<13:51,  4.02it/s]
loss=0.1431 (0.1422) xyz.shape=torch.Size([421888, 3]): :  30% 1459/4800 [05:11<12:26,  4.48it/s]
loss=0.1493 (0.1422) xyz.shape=torch.Size([420224, 3]): :  30% 1459/4800 [05:11<12:26,  4.48it/s]
loss=0.1493 (0.1422) xyz.shape=torch.Size([420224, 3]): :  30% 1460/4800 [05:11<11:25,  4.87it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([423168, 3]): :  30% 1460/4800 [05:11<11:25,  4.87it/s]
loss=0.1430 (0.1422) xyz.shape=torch.Size([423168, 3]): :  30% 1461/4800 [05:11<10:44,  5.18it/s]
loss=0.1398 (0.1422) xyz.shape=torch.Size([422400, 3]): :  30% 1461/4800 [05:12<10:44,  5.18it/s]
loss=0.1398 (0.1422) xyz.shape=torch.Size([422400, 3]): :  30% 1462/4800 [05:12<10:16,  5.42it/s]
loss=0.1402 (0.1422) xyz.shape=torch.Size([420352, 3]): :  30% 1462/4800 [05:12<10:16,  5.42it/s]
loss=0.1402 (0.1422) xyz.shape=torch.Size([420352, 3]): :  30% 1463/4800 [05:12<14:07,  3.94it/s]
loss=0.1397 (0.1422) xyz.shape=torch.Size([413952, 3]): :  30% 1463/4800 [05:12<14:07,  3.94it/s]
loss=0.1397 (0.1422) xyz.shape=torch.Size([413952, 3]): :  30% 1464/4800 [05:12<12:36,  4.41it/s]
loss=0.1449 (0.1422) xyz.shape=torch.Size([417664, 3]): :  30% 1464/4800 [05:12<12:36,  4.41it/s]
loss=0.1449 (0.1422) xyz.shape=torch.Size([417664, 3]): :  31% 1465/4800 [05:12<11:32,  4.81it/s]
loss=0.1421 (0.1422) xyz.shape=torch.Size([420352, 3]): :  31% 1465/4800 [05:12<11:32,  4.81it/s]
