nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.0021 (0.0021): :  16% 768/4800 [03:42<17:46,  3.78it/s]
loss=0.0021 (0.0021): :  16% 768/4800 [03:42<17:46,  3.78it/s]
loss=0.0021 (0.0021): :  16% 769/4800 [03:42<17:12,  3.91it/s]
loss=0.0023 (0.0021): :  16% 769/4800 [03:43<17:12,  3.91it/s]
loss=0.0023 (0.0021): :  16% 770/4800 [03:43<21:28,  3.13it/s]
loss=0.0023 (0.0021): :  16% 770/4800 [03:43<21:28,  3.13it/s]
loss=0.0023 (0.0021): :  16% 771/4800 [03:43<19:46,  3.39it/s]
loss=0.0023 (0.0021): :  16% 771/4800 [03:43<19:46,  3.39it/s]
loss=0.0023 (0.0021): :  16% 772/4800 [03:43<18:35,  3.61it/s]
loss=0.0023 (0.0021): :  16% 772/4800 [03:43<18:35,  3.61it/s]
loss=0.0023 (0.0021): :  16% 773/4800 [03:43<17:45,  3.78it/s]
loss=0.0021 (0.0021): :  16% 773/4800 [03:44<17:45,  3.78it/s]
loss=0.0021 (0.0021): :  16% 774/4800 [03:44<17:11,  3.90it/s]
loss=0.0016 (0.0021): :  16% 774/4800 [03:44<17:11,  3.90it/s]
loss=0.0016 (0.0021): :  16% 775/4800 [03:44<21:39,  3.10it/s]
loss=0.0020 (0.0021): :  16% 775/4800 [03:44<21:39,  3.10it/s]
loss=0.0020 (0.0021): :  16% 776/4800 [03:44<19:54,  3.37it/s]
loss=0.0023 (0.0021): :  16% 776/4800 [03:45<19:54,  3.37it/s]
loss=0.0023 (0.0021): :  16% 777/4800 [03:45<18:40,  3.59it/s]
loss=0.0022 (0.0021): :  16% 777/4800 [03:45<18:40,  3.59it/s]
loss=0.0022 (0.0021): :  16% 778/4800 [03:45<17:48,  3.77it/s]
loss=0.0026 (0.0021): :  16% 778/4800 [03:45<17:48,  3.77it/s]
loss=0.0026 (0.0021): :  16% 779/4800 [03:45<17:11,  3.90it/s]
loss=0.0022 (0.0021): :  16% 779/4800 [03:45<17:11,  3.90it/s]
loss=0.0022 (0.0021): :  16% 780/4800 [03:45<21:26,  3.13it/s]
loss=0.0022 (0.0021): :  16% 780/4800 [03:46<21:26,  3.13it/s]
loss=0.0022 (0.0021): :  16% 781/4800 [03:46<19:48,  3.38it/s]
loss=0.0024 (0.0021): :  16% 781/4800 [03:46<19:48,  3.38it/s]
loss=0.0024 (0.0021): :  16% 782/4800 [03:46<18:36,  3.60it/s]
loss=0.0026 (0.0021): :  16% 782/4800 [03:46<18:36,  3.60it/s]
loss=0.0026 (0.0021): :  16% 783/4800 [03:46<17:45,  3.77it/s]
loss=0.0027 (0.0021): :  16% 783/4800 [03:46<17:45,  3.77it/s]
loss=0.0027 (0.0021): :  16% 784/4800 [03:46<17:10,  3.90it/s]
loss=0.0024 (0.0021): :  16% 784/4800 [03:47<17:10,  3.90it/s]
loss=0.0024 (0.0021): :  16% 785/4800 [03:47<16:44,  4.00it/s]
loss=0.0028 (0.0021): :  16% 785/4800 [03:47<16:44,  4.00it/s]
loss=0.0028 (0.0021): :  16% 786/4800 [03:47<21:00,  3.18it/s]
loss=0.0027 (0.0021): :  16% 786/4800 [03:47<21:00,  3.18it/s]
loss=0.0027 (0.0021): :  16% 787/4800 [03:47<19:26,  3.44it/s]
loss=0.0028 (0.0021): :  16% 787/4800 [03:48<19:26,  3.44it/s]
loss=0.0028 (0.0021): :  16% 788/4800 [03:48<18:19,  3.65it/s]
loss=0.0018 (0.0021): :  16% 788/4800 [03:48<18:19,  3.65it/s]
loss=0.0018 (0.0021): :  16% 789/4800 [03:48<17:33,  3.81it/s]
loss=0.0027 (0.0021): :  16% 789/4800 [03:48<17:33,  3.81it/s]
loss=0.0027 (0.0021): :  16% 790/4800 [03:48<17:00,  3.93it/s]
loss=0.0018 (0.0021): :  16% 790/4800 [03:49<17:00,  3.93it/s]
loss=0.0018 (0.0021): :  16% 791/4800 [03:49<21:11,  3.15it/s]
loss=0.0022 (0.0021): :  16% 791/4800 [03:49<21:11,  3.15it/s]
loss=0.0022 (0.0021): :  16% 792/4800 [03:49<19:35,  3.41it/s]
loss=0.0021 (0.0021): :  16% 792/4800 [03:49<19:35,  3.41it/s]
loss=0.0021 (0.0021): :  17% 793/4800 [03:49<18:27,  3.62it/s]
loss=0.0025 (0.0021): :  17% 793/4800 [03:49<18:27,  3.62it/s]
loss=0.0025 (0.0021): :  17% 794/4800 [03:49<17:39,  3.78it/s]
loss=0.0022 (0.0021): :  17% 794/4800 [03:49<17:39,  3.78it/s]
loss=0.0022 (0.0021): :  17% 795/4800 [03:49<17:05,  3.91it/s]
loss=0.0021 (0.0021): :  17% 795/4800 [03:50<17:05,  3.91it/s]
loss=0.0021 (0.0021): :  17% 796/4800 [03:50<21:16,  3.14it/s]
loss=0.0023 (0.0021): :  17% 796/4800 [03:50<21:16,  3.14it/s]
loss=0.0023 (0.0021): :  17% 797/4800 [03:50<19:49,  3.37it/s]
loss=0.0019 (0.0021): :  17% 797/4800 [03:50<19:49,  3.37it/s]
loss=0.0019 (0.0021): :  17% 798/4800 [03:50<18:35,  3.59it/s]
loss=0.0023 (0.0021): :  17% 798/4800 [03:51<18:35,  3.59it/s]
loss=0.0023 (0.0021): :  17% 799/4800 [03:51<17:44,  3.76it/s]
loss=0.0022 (0.0021): :  17% 799/4800 [03:51<17:44,  3.76it/s]
loss=0.0022 (0.0021): :  17% 800/4800 [03:51<17:09,  3.89it/s]
loss=0.0017 (0.0021): :  17% 800/4800 [03:51<17:09,  3.89it/s]
loss=0.0017 (0.0021): :  17% 801/4800 [03:51<21:24,  3.11it/s]
loss=0.0021 (0.0021): :  17% 801/4800 [03:52<21:24,  3.11it/s]
loss=0.0021 (0.0021): :  17% 802/4800 [03:52<19:43,  3.38it/s]
loss=0.0021 (0.0021): :  17% 802/4800 [03:52<19:43,  3.38it/s]
loss=0.0021 (0.0021): :  17% 803/4800 [03:52<18:30,  3.60it/s]
loss=0.0021 (0.0021): :  17% 803/4800 [03:52<18:30,  3.60it/s]
loss=0.0021 (0.0021): :  17% 804/4800 [03:52<17:41,  3.76it/s]
loss=0.0023 (0.0021): :  17% 804/4800 [03:52<17:41,  3.76it/s]
loss=0.0023 (0.0021): :  17% 805/4800 [03:52<17:06,  3.89it/s]
loss=0.0021 (0.0021): :  17% 805/4800 [03:53<17:06,  3.89it/s]
loss=0.0021 (0.0021): :  17% 806/4800 [03:53<21:16,  3.13it/s]
loss=0.0022 (0.0021): :  17% 806/4800 [03:53<21:16,  3.13it/s]
loss=0.0022 (0.0021): :  17% 807/4800 [03:53<19:35,  3.40it/s]
loss=0.0021 (0.0021): :  17% 807/4800 [03:53<19:35,  3.40it/s]
loss=0.0021 (0.0021): :  17% 808/4800 [03:53<18:25,  3.61it/s]
loss=0.0020 (0.0021): :  17% 808/4800 [03:54<18:25,  3.61it/s]
loss=0.0020 (0.0021): :  17% 809/4800 [03:54<17:35,  3.78it/s]
loss=0.0024 (0.0021): :  17% 809/4800 [03:54<17:35,  3.78it/s]
loss=0.0024 (0.0021): :  17% 810/4800 [03:54<17:01,  3.91it/s]
loss=0.0021 (0.0021): :  17% 810/4800 [03:54<17:01,  3.91it/s]
loss=0.0021 (0.0021): :  17% 811/4800 [03:54<21:10,  3.14it/s]
loss=0.0020 (0.0021): :  17% 811/4800 [03:54<21:10,  3.14it/s]
loss=0.0020 (0.0021): :  17% 812/4800 [03:54<19:32,  3.40it/s]
loss=0.0019 (0.0021): :  17% 812/4800 [03:55<19:32,  3.40it/s]
loss=0.0019 (0.0021): :  17% 813/4800 [03:55<18:23,  3.61it/s]
loss=0.0026 (0.0021): :  17% 813/4800 [03:55<18:23,  3.61it/s]
loss=0.0026 (0.0021): :  17% 814/4800 [03:55<17:33,  3.78it/s]
loss=0.0026 (0.0021): :  17% 814/4800 [03:55<17:33,  3.78it/s]
loss=0.0026 (0.0021): :  17% 815/4800 [03:55<16:59,  3.91it/s]
loss=0.0024 (0.0021): :  17% 815/4800 [03:56<16:59,  3.91it/s]
loss=0.0024 (0.0021): :  17% 816/4800 [03:56<21:11,  3.13it/s]
loss=0.0019 (0.0021): :  17% 816/4800 [03:56<21:11,  3.13it/s]
loss=0.0019 (0.0021): :  17% 817/4800 [03:56<19:32,  3.40it/s]
loss=0.0024 (0.0021): :  17% 817/4800 [03:56<19:32,  3.40it/s]
loss=0.0024 (0.0021): :  17% 818/4800 [03:56<18:22,  3.61it/s]
loss=0.0019 (0.0021): :  17% 818/4800 [03:56<18:22,  3.61it/s]
loss=0.0019 (0.0021): :  17% 819/4800 [03:56<17:38,  3.76it/s]
loss=0.0025 (0.0021): :  17% 819/4800 [03:57<17:38,  3.76it/s]
loss=0.0025 (0.0021): :  17% 820/4800 [03:57<17:02,  3.89it/s]
loss=0.0021 (0.0021): :  17% 820/4800 [03:57<17:02,  3.89it/s]
loss=0.0021 (0.0021): :  17% 821/4800 [03:57<21:10,  3.13it/s]
loss=0.0025 (0.0021): :  17% 821/4800 [03:57<21:10,  3.13it/s]
loss=0.0025 (0.0021): :  17% 822/4800 [03:57<19:30,  3.40it/s]
loss=0.0021 (0.0021): :  17% 822/4800 [03:58<19:30,  3.40it/s]
loss=0.0021 (0.0021): :  17% 823/4800 [03:58<18:20,  3.61it/s]
loss=0.0019 (0.0021): :  17% 823/4800 [03:58<18:20,  3.61it/s]
loss=0.0019 (0.0021): :  17% 824/4800 [03:58<17:30,  3.78it/s]
loss=0.0022 (0.0021): :  17% 824/4800 [03:58<17:30,  3.78it/s]
loss=0.0022 (0.0021): :  17% 825/4800 [03:58<16:57,  3.91it/s]
loss=0.0021 (0.0021): :  17% 825/4800 [03:58<16:57,  3.91it/s]
loss=0.0021 (0.0021): :  17% 826/4800 [03:58<21:07,  3.14it/s]
loss=0.0025 (0.0021): :  17% 826/4800 [03:59<21:07,  3.14it/s]
loss=0.0025 (0.0021): :  17% 827/4800 [03:59<19:39,  3.37it/s]
loss=0.0023 (0.0021): :  17% 827/4800 [03:59<19:39,  3.37it/s]
loss=0.0023 (0.0021): :  17% 828/4800 [03:59<18:32,  3.57it/s]
loss=0.0019 (0.0021): :  17% 828/4800 [03:59<18:32,  3.57it/s]
loss=0.0019 (0.0021): :  17% 829/4800 [03:59<17:46,  3.72it/s]
loss=0.0021 (0.0021): :  17% 829/4800 [03:59<17:46,  3.72it/s]
loss=0.0021 (0.0021): :  17% 830/4800 [03:59<17:15,  3.84it/s]
loss=0.0024 (0.0021): :  17% 830/4800 [04:00<17:15,  3.84it/s]
loss=0.0024 (0.0021): :  17% 831/4800 [04:00<23:38,  2.80it/s]
loss=0.0021 (0.0021): :  17% 831/4800 [04:00<23:38,  2.80it/s]
loss=0.0021 (0.0021): :  17% 832/4800 [04:00<21:41,  3.05it/s]
loss=0.0017 (0.0021): :  17% 832/4800 [04:01<21:41,  3.05it/s]
loss=0.0017 (0.0021): :  17% 833/4800 [04:01<20:20,  3.25it/s]
loss=0.0022 (0.0021): :  17% 833/4800 [04:01<20:20,  3.25it/s]
loss=0.0022 (0.0021): :  17% 834/4800 [04:01<18:58,  3.48it/s]
loss=0.0019 (0.0021): :  17% 834/4800 [04:01<18:58,  3.48it/s]
loss=0.0019 (0.0021): :  17% 835/4800 [04:01<18:00,  3.67it/s]
loss=0.0016 (0.0021): :  17% 835/4800 [04:01<18:00,  3.67it/s]
loss=0.0016 (0.0021): :  17% 836/4800 [04:01<17:19,  3.81it/s]
loss=0.0022 (0.0021): :  17% 836/4800 [04:02<17:19,  3.81it/s]
loss=0.0022 (0.0021): :  17% 837/4800 [04:02<21:30,  3.07it/s]
loss=0.0020 (0.0021): :  17% 837/4800 [04:02<21:30,  3.07it/s]
loss=0.0020 (0.0021): :  17% 838/4800 [04:02<19:54,  3.32it/s]
loss=0.0019 (0.0021): :  17% 838/4800 [04:02<19:54,  3.32it/s]
loss=0.0019 (0.0021): :  17% 839/4800 [04:02<18:46,  3.52it/s]
loss=0.0024 (0.0021): :  17% 839/4800 [04:02<18:46,  3.52it/s]
loss=0.0024 (0.0021): :  18% 840/4800 [04:02<17:58,  3.67it/s]
loss=0.0020 (0.0021): :  18% 840/4800 [04:03<17:58,  3.67it/s]
loss=0.0020 (0.0021): :  18% 841/4800 [04:03<17:23,  3.79it/s]
loss=0.0020 (0.0021): :  18% 841/4800 [04:03<17:23,  3.79it/s]
loss=0.0020 (0.0021): :  18% 842/4800 [04:03<21:33,  3.06it/s]
loss=0.0017 (0.0021): :  18% 842/4800 [04:03<21:33,  3.06it/s]
loss=0.0017 (0.0021): :  18% 843/4800 [04:03<21:11,  3.11it/s]
loss=0.0017 (0.0021): :  18% 843/4800 [04:04<21:11,  3.11it/s]
loss=0.0017 (0.0021): :  18% 844/4800 [04:04<19:38,  3.36it/s]
loss=0.0020 (0.0021): :  18% 844/4800 [04:04<19:38,  3.36it/s]
loss=0.0020 (0.0021): :  18% 845/4800 [04:04<18:32,  3.55it/s]
loss=0.0025 (0.0021): :  18% 845/4800 [04:04<18:32,  3.55it/s]
loss=0.0025 (0.0021): :  18% 846/4800 [04:04<18:05,  3.64it/s]
loss=0.0022 (0.0021): :  18% 846/4800 [04:05<18:05,  3.64it/s]
loss=0.0022 (0.0021): :  18% 847/4800 [04:05<22:08,  2.98it/s]
loss=0.0016 (0.0021): :  18% 847/4800 [04:05<22:08,  2.98it/s]
loss=0.0016 (0.0021): :  18% 848/4800 [04:05<20:13,  3.26it/s]
loss=0.0027 (0.0021): :  18% 848/4800 [04:05<20:13,  3.26it/s]
loss=0.0027 (0.0021): :  18% 849/4800 [04:05<18:59,  3.47it/s]
loss=0.0018 (0.0021): :  18% 849/4800 [04:05<18:59,  3.47it/s]
loss=0.0018 (0.0021): :  18% 850/4800 [04:05<18:08,  3.63it/s]
loss=0.0019 (0.0021): :  18% 850/4800 [04:06<18:08,  3.63it/s]
loss=0.0019 (0.0021): :  18% 851/4800 [04:06<17:32,  3.75it/s]
loss=0.0019 (0.0021): :  18% 851/4800 [04:06<17:32,  3.75it/s]
loss=0.0019 (0.0021): :  18% 852/4800 [04:06<22:10,  2.97it/s]
loss=0.0025 (0.0021): :  18% 852/4800 [04:06<22:10,  2.97it/s]
loss=0.0025 (0.0021): :  18% 853/4800 [04:06<20:17,  3.24it/s]
loss=0.0023 (0.0021): :  18% 853/4800 [04:07<20:17,  3.24it/s]
loss=0.0023 (0.0021): :  18% 854/4800 [04:07<19:00,  3.46it/s]
loss=0.0023 (0.0021): :  18% 854/4800 [04:07<19:00,  3.46it/s]
loss=0.0023 (0.0021): :  18% 855/4800 [04:07<18:06,  3.63it/s]
loss=0.0019 (0.0021): :  18% 855/4800 [04:07<18:06,  3.63it/s]
loss=0.0019 (0.0021): :  18% 856/4800 [04:07<17:28,  3.76it/s]
loss=0.0024 (0.0021): :  18% 856/4800 [04:08<17:28,  3.76it/s]
loss=0.0024 (0.0021): :  18% 857/4800 [04:08<21:48,  3.01it/s]
loss=0.0021 (0.0021): :  18% 857/4800 [04:08<21:48,  3.01it/s]
loss=0.0021 (0.0021): :  18% 858/4800 [04:08<20:03,  3.28it/s]
loss=0.0023 (0.0021): :  18% 858/4800 [04:08<20:03,  3.28it/s]
loss=0.0023 (0.0021): :  18% 859/4800 [04:08<18:47,  3.50it/s]
loss=0.0022 (0.0021): :  18% 859/4800 [04:08<18:47,  3.50it/s]
loss=0.0022 (0.0021): :  18% 860/4800 [04:08<18:00,  3.65it/s]
loss=0.0024 (0.0021): :  18% 860/4800 [04:09<18:00,  3.65it/s]
loss=0.0024 (0.0021): :  18% 861/4800 [04:09<17:20,  3.79it/s]
loss=0.0021 (0.0021): :  18% 861/4800 [04:09<17:20,  3.79it/s]
loss=0.0021 (0.0021): :  18% 862/4800 [04:09<23:14,  2.82it/s]
loss=0.0025 (0.0021): :  18% 862/4800 [04:09<23:14,  2.82it/s]
loss=0.0025 (0.0021): :  18% 863/4800 [04:09<21:01,  3.12it/s]
loss=0.0020 (0.0021): :  18% 863/4800 [04:10<21:01,  3.12it/s]
loss=0.0020 (0.0021): :  18% 864/4800 [04:10<19:26,  3.38it/s]
loss=0.0023 (0.0021): :  18% 864/4800 [04:10<19:26,  3.38it/s]
loss=0.0023 (0.0021): :  18% 865/4800 [04:10<18:20,  3.58it/s]
loss=0.0016 (0.0021): :  18% 865/4800 [04:10<18:20,  3.58it/s]
loss=0.0016 (0.0021): :  18% 866/4800 [04:10<17:32,  3.74it/s]
loss=0.0022 (0.0021): :  18% 866/4800 [04:11<17:32,  3.74it/s]
loss=0.0022 (0.0021): :  18% 867/4800 [04:11<21:50,  3.00it/s]
loss=0.0019 (0.0021): :  18% 867/4800 [04:11<21:50,  3.00it/s]
loss=0.0019 (0.0021): :  18% 868/4800 [04:11<19:59,  3.28it/s]
loss=0.0017 (0.0021): :  18% 868/4800 [04:11<19:59,  3.28it/s]
loss=0.0017 (0.0021): :  18% 869/4800 [04:11<18:43,  3.50it/s]
loss=0.0021 (0.0021): :  18% 869/4800 [04:11<18:43,  3.50it/s]
loss=0.0021 (0.0021): :  18% 870/4800 [04:11<17:48,  3.68it/s]
loss=0.0022 (0.0021): :  18% 870/4800 [04:12<17:48,  3.68it/s]
loss=0.0022 (0.0021): :  18% 871/4800 [04:12<17:10,  3.81it/s]
loss=0.0023 (0.0021): :  18% 871/4800 [04:12<17:10,  3.81it/s]
loss=0.0023 (0.0021): :  18% 872/4800 [04:12<23:24,  2.80it/s]
loss=0.0022 (0.0021): :  18% 872/4800 [04:12<23:24,  2.80it/s]
loss=0.0022 (0.0021): :  18% 873/4800 [04:12<21:03,  3.11it/s]
loss=0.0022 (0.0021): :  18% 873/4800 [04:13<21:03,  3.11it/s]
loss=0.0022 (0.0021): :  18% 874/4800 [04:13<19:25,  3.37it/s]
loss=0.0022 (0.0021): :  18% 874/4800 [04:13<19:25,  3.37it/s]
loss=0.0022 (0.0021): :  18% 875/4800 [04:13<18:17,  3.58it/s]
loss=0.0021 (0.0021): :  18% 875/4800 [04:13<18:17,  3.58it/s]
loss=0.0021 (0.0021): :  18% 876/4800 [04:13<17:30,  3.74it/s]
loss=0.0022 (0.0021): :  18% 876/4800 [04:14<17:30,  3.74it/s]
loss=0.0022 (0.0021): :  18% 877/4800 [04:14<21:43,  3.01it/s]
loss=0.0022 (0.0021): :  18% 877/4800 [04:14<21:43,  3.01it/s]
loss=0.0022 (0.0021): :  18% 878/4800 [04:14<19:53,  3.29it/s]
loss=0.0022 (0.0021): :  18% 878/4800 [04:14<19:53,  3.29it/s]
loss=0.0022 (0.0021): :  18% 879/4800 [04:14<18:34,  3.52it/s]
loss=0.0017 (0.0021): :  18% 879/4800 [04:14<18:34,  3.52it/s]
loss=0.0017 (0.0021): :  18% 880/4800 [04:14<17:40,  3.70it/s]
loss=0.0024 (0.0021): :  18% 880/4800 [04:15<17:40,  3.70it/s]
loss=0.0024 (0.0021): :  18% 881/4800 [04:15<17:02,  3.83it/s]
loss=0.0017 (0.0021): :  18% 881/4800 [04:15<17:02,  3.83it/s]
loss=0.0017 (0.0021): :  18% 882/4800 [04:15<21:26,  3.05it/s]
loss=0.0026 (0.0021): :  18% 882/4800 [04:15<21:26,  3.05it/s]
loss=0.0026 (0.0021): :  18% 883/4800 [04:15<19:42,  3.31it/s]
loss=0.0020 (0.0021): :  18% 883/4800 [04:16<19:42,  3.31it/s]
loss=0.0020 (0.0021): :  18% 884/4800 [04:16<18:28,  3.53it/s]
loss=0.0021 (0.0021): :  18% 884/4800 [04:16<18:28,  3.53it/s]
loss=0.0021 (0.0021): :  18% 885/4800 [04:16<17:36,  3.71it/s]
loss=0.0024 (0.0021): :  18% 885/4800 [04:16<17:36,  3.71it/s]
loss=0.0024 (0.0021): :  18% 886/4800 [04:16<16:59,  3.84it/s]
loss=0.0023 (0.0021): :  18% 886/4800 [04:16<16:59,  3.84it/s]
loss=0.0023 (0.0021): :  18% 887/4800 [04:16<16:32,  3.94it/s]
loss=0.0019 (0.0021): :  18% 887/4800 [04:17<16:32,  3.94it/s]
loss=0.0019 (0.0021): :  18% 888/4800 [04:17<22:15,  2.93it/s]
loss=0.0025 (0.0021): :  18% 888/4800 [04:17<22:15,  2.93it/s]
loss=0.0025 (0.0021): :  19% 889/4800 [04:17<20:14,  3.22it/s]
loss=0.0022 (0.0021): :  19% 889/4800 [04:17<20:14,  3.22it/s]
loss=0.0022 (0.0021): :  19% 890/4800 [04:17<18:49,  3.46it/s]
loss=0.0021 (0.0021): :  19% 890/4800 [04:17<18:49,  3.46it/s]
loss=0.0021 (0.0021): :  19% 891/4800 [04:17<17:49,  3.65it/s]
loss=0.0020 (0.0021): :  19% 891/4800 [04:18<17:49,  3.65it/s]
loss=0.0020 (0.0021): :  19% 892/4800 [04:18<17:06,  3.81it/s]
loss=0.0023 (0.0021): :  19% 892/4800 [04:18<17:06,  3.81it/s]
loss=0.0023 (0.0021): :  19% 893/4800 [04:18<21:18,  3.06it/s]
loss=0.0016 (0.0021): :  19% 893/4800 [04:18<21:18,  3.06it/s]
loss=0.0016 (0.0021): :  19% 894/4800 [04:18<19:35,  3.32it/s]
loss=0.0019 (0.0021): :  19% 894/4800 [04:19<19:35,  3.32it/s]
loss=0.0019 (0.0021): :  19% 895/4800 [04:19<18:21,  3.55it/s]
loss=0.0022 (0.0021): :  19% 895/4800 [04:19<18:21,  3.55it/s]
loss=0.0022 (0.0021): :  19% 896/4800 [04:19<17:28,  3.72it/s]
loss=0.0021 (0.0021): :  19% 896/4800 [04:19<17:28,  3.72it/s]
loss=0.0021 (0.0021): :  19% 897/4800 [04:19<16:52,  3.86it/s]
loss=0.0019 (0.0021): :  19% 897/4800 [04:20<16:52,  3.86it/s]
loss=0.0019 (0.0021): :  19% 898/4800 [04:20<22:11,  2.93it/s]
loss=0.0023 (0.0021): :  19% 898/4800 [04:20<22:11,  2.93it/s]
loss=0.0023 (0.0021): :  19% 899/4800 [04:20<20:09,  3.23it/s]
loss=0.0023 (0.0021): :  19% 899/4800 [04:20<20:09,  3.23it/s]
loss=0.0023 (0.0021): :  19% 900/4800 [04:20<18:44,  3.47it/s]
loss=0.0025 (0.0021): :  19% 900/4800 [04:20<18:44,  3.47it/s]
loss=0.0025 (0.0021): :  19% 901/4800 [04:20<17:44,  3.66it/s]
loss=0.0021 (0.0021): :  19% 901/4800 [04:21<17:44,  3.66it/s]
loss=0.0021 (0.0021): :  19% 902/4800 [04:21<17:02,  3.81it/s]
loss=0.0024 (0.0021): :  19% 902/4800 [04:21<17:02,  3.81it/s]
loss=0.0024 (0.0021): :  19% 903/4800 [04:21<21:18,  3.05it/s]
loss=0.0021 (0.0021): :  19% 903/4800 [04:21<21:18,  3.05it/s]
loss=0.0021 (0.0021): :  19% 904/4800 [04:21<19:32,  3.32it/s]
loss=0.0024 (0.0021): :  19% 904/4800 [04:22<19:32,  3.32it/s]
loss=0.0024 (0.0021): :  19% 905/4800 [04:22<18:17,  3.55it/s]
loss=0.0021 (0.0021): :  19% 905/4800 [04:22<18:17,  3.55it/s]
loss=0.0021 (0.0021): :  19% 906/4800 [04:22<17:25,  3.73it/s]
loss=0.0017 (0.0021): :  19% 906/4800 [04:22<17:25,  3.73it/s]
loss=0.0017 (0.0021): :  19% 907/4800 [04:22<16:49,  3.86it/s]
loss=0.0019 (0.0021): :  19% 907/4800 [04:23<16:49,  3.86it/s]
loss=0.0019 (0.0021): :  19% 908/4800 [04:23<21:11,  3.06it/s]
loss=0.0021 (0.0021): :  19% 908/4800 [04:23<21:11,  3.06it/s]
loss=0.0021 (0.0021): :  19% 909/4800 [04:23<19:27,  3.33it/s]
loss=0.0018 (0.0021): :  19% 909/4800 [04:23<19:27,  3.33it/s]
loss=0.0018 (0.0021): :  19% 910/4800 [04:23<18:23,  3.52it/s]
